"","Package","LibPath","Version","Priority","Depends","Imports","LinkingTo","Suggests","Enhances","License","License_is_FOSS","License_restricts_use","OS_type","MD5sum","NeedsCompilation","Built"
"abind","abind","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","1.4-5",NA,"R (>= 1.5.0)","methods, utils",NA,NA,NA,"LGPL (>= 2)",NA,NA,NA,NA,"no","4.4.0"
"acs","acs","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","2.1.4",NA,"R (>= 2.10), stringr, methods, XML","graphics, stats, plyr, utils, httr",NA,"",NA,"GPL-3",NA,NA,NA,NA,"no","4.4.0"
"AER","AER","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","1.2-13",NA,"R (>= 3.0.0), car (>= 2.0-19), lmtest, sandwich (>= 2.4-0),
survival (>= 2.37-5), zoo","stats, Formula (>= 0.2-0)",NA,"boot, dynlm, effects, fGarch, forecast, foreign, ineq,
KernSmooth, lattice, longmemo, MASS, mlogit, nlme, nnet, np,
plm, pscl, quantreg, rgl, ROCR, rugarch, sampleSelection,
scatterplot3d, strucchange, systemfit (>= 1.1-20), truncreg,
tseries, urca, vars",NA,"GPL-2 | GPL-3",NA,NA,NA,NA,"no","4.4.1"
"anytime","anytime","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","0.3.9",NA,"R (>= 3.2.0)","Rcpp (>= 0.12.9)","Rcpp (>= 0.12.9), BH","tinytest (>= 1.0.0), gettz",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.4.0"
"arsenal","arsenal","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","3.6.3",NA,"R (>= 3.4.0), stats (>= 3.4.0)","knitr (>= 1.29), utils (>= 3.4.0)",NA,"broom (>= 0.7.1), magrittr, rmarkdown, testthat, xtable,
pander, survival (>= 2.43-1), coin, pROC, MASS, splines, rpart,
yaml, geepack",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.4.0"
"AsioHeaders","AsioHeaders","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","1.22.1-2",NA,NA,NA,NA,NA,NA,"BSL-1.0",NA,NA,NA,NA,"no","4.4.0"
"askpass","askpass","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","1.2.0",NA,NA,"sys (>= 2.1)",NA,"testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.4.0"
"assertthat","assertthat","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","0.2.1",NA,NA,"tools",NA,"testthat, covr",NA,"GPL-3",NA,NA,NA,NA,"no","4.4.0"
"backports","backports","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","1.5.0",NA,"R (>= 3.0.0)",NA,NA,NA,NA,"GPL-2 | GPL-3",NA,NA,NA,NA,"yes","4.4.0"
"base","base","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","4.4.1","base",NA,NA,NA,"methods","chron, date, round","Part of R 4.4.1",NA,NA,NA,NA,NA,"4.4.1"
"base64enc","base64enc","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","0.1-3",NA,"R (>= 2.9.0)",NA,NA,NA,"png","GPL-2 | GPL-3",NA,NA,NA,NA,"yes","4.4.0"
"base64url","base64url","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","1.4",NA,NA,"backports (>= 1.1.0)",NA,"base64enc, checkmate, knitr, microbenchmark, openssl,
rmarkdown, testthat",NA,"GPL-3",NA,NA,NA,NA,"yes","4.4.0"
"bayestestR","bayestestR","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","0.14.0",NA,"R (>= 3.6)","insight (>= 0.20.1), datawizard (>= 0.10.0), graphics,
methods, stats, utils",NA,"BayesFactor (>= 0.9.12-4.4), bayesQR, bayesplot, betareg, BH,
blavaan, bridgesampling, brms, curl, effectsize, emmeans,
gamm4, ggdist, ggplot2, glmmTMB, httr, httr2, KernSmooth,
knitr, lavaan, lme4, logspline (>= 2.1.21), MASS, mclust,
mediation, modelbased, ordbetareg, parameters, patchwork,
performance, quadprog, posterior, RcppEigen, rmarkdown, rstan,
rstanarm, see (>= 0.8.5), testthat, tweedie",NA,"GPL-3",NA,NA,NA,NA,"no","4.4.0"
"BH","BH","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","1.84.0-0",NA,NA,NA,NA,NA,NA,"BSL-1.0",NA,NA,NA,NA,"no","4.4.0"
"bigD","bigD","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","0.2.0",NA,"R (>= 3.2.0)",NA,NA,"covr, testthat (>= 3.0.0)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.4.0"
"bit","bit","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","4.0.5",NA,"R (>= 2.9.2)",NA,NA,"testthat (>= 0.11.0), roxygen2, knitr, rmarkdown,
microbenchmark, bit64 (>= 4.0.0), ff (>= 4.0.0)",NA,"GPL-2 | GPL-3",NA,NA,NA,NA,"yes","4.4.0"
"bit64","bit64","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","4.0.5",NA,"R (>= 3.0.1), bit (>= 4.0.0), utils, methods, stats",NA,NA,NA,NA,"GPL-2 | GPL-3",NA,NA,NA,NA,"yes","4.4.0"
"bitops","bitops","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","1.0-8",NA,NA,NA,NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.4.0"
"blob","blob","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","1.2.4",NA,NA,"methods, rlang, vctrs (>= 0.2.1)",NA,"covr, crayon, pillar (>= 1.2.1), testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.4.0"
"blogdown","blogdown","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","1.19",NA,"R (>= 3.5.0)","bookdown (>= 0.22), htmltools, httpuv (>= 1.4.0), jsonlite,
knitr (>= 1.25), later, rmarkdown (>= 2.8), servr (>= 0.21),
xfun (>= 0.34), yaml (>= 2.1.19)",NA,"miniUI, processx, rstudioapi, shiny, stringr, testit, tools,
whoami",NA,"GPL-3",NA,NA,NA,NA,"no","4.4.0"
"blsAPI","blsAPI","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","0.2.2",NA,"R (>= 3.5.0)","rjson, httr, dplyr",NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.4.1"
"bookdown","bookdown","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","0.40",NA,"R (>= 3.5.0)","htmltools (>= 0.3.6), knitr (>= 1.38), rmarkdown (>= 2.14),
jquerylib, xfun (>= 0.39), tinytex (>= 0.12), yaml (>= 2.1.19)",NA,"bslib (>= 0.2.4), downlit (>= 0.4.0), htmlwidgets, jsonlite,
rstudioapi, miniUI, rsconnect (>= 0.4.3), servr (>= 0.13),
shiny, tibble, testit (>= 0.9), tufte, xml2, webshot, testthat
(>= 3.1.0), withr (>= 2.3.0)",NA,"GPL-3",NA,NA,NA,NA,"no","4.4.0"
"boot","boot","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","1.3-30","recommended","R (>= 3.0.0), graphics, stats",NA,NA,"MASS, survival",NA,"Unlimited",NA,NA,NA,NA,"no","4.4.1"
"brew","brew","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","1.0-10",NA,NA,NA,NA,"testthat (>= 3.0.0)",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.4.0"
"brio","brio","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","1.1.5",NA,"R (>= 3.6)",NA,NA,"covr, testthat (>= 3.0.0)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.4.0"
"broom","broom","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","1.0.6",NA,"R (>= 3.5)","backports, dplyr (>= 1.0.0), generics (>= 0.0.2), glue,
lifecycle, purrr, rlang, stringr, tibble (>= 3.0.0), tidyr (>=
1.0.0)",NA,"AER, AUC, bbmle, betareg, biglm, binGroup, boot, btergm (>=
1.10.6), car, carData, caret, cluster, cmprsk, coda, covr, drc,
e1071, emmeans, epiR, ergm (>= 3.10.4), fixest (>= 0.9.0), gam
(>= 1.15), gee, geepack, ggplot2, glmnet, glmnetUtils, gmm,
Hmisc, irlba, interp, joineRML, Kendall, knitr, ks, Lahman,
lavaan, leaps, lfe, lm.beta, lme4, lmodel2, lmtest (>= 0.9.38),
lsmeans, maps, MASS, mclust, mediation, metafor, mfx, mgcv,
mlogit, modeldata, modeltests (>= 0.1.6), muhaz, multcomp,
network, nnet, orcutt (>= 2.2), ordinal, plm, poLCA, psych,
quantreg, rmarkdown, robust, robustbase, rsample, sandwich,
spdep (>= 1.1), spatialreg, speedglm, spelling, survey,
survival (>= 3.6-4), systemfit, testthat (>= 2.1.0), tseries,
vars, zoo",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.4.0"
"broom.helpers","broom.helpers","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","1.17.0",NA,"R (>= 4.2)","broom (>= 0.8), cards, cli, dplyr (>= 1.1.0), labelled,
lifecycle, purrr, rlang (>= 1.0.1), stats, stringr, tibble,
tidyr",NA,"betareg, biglm, brms (>= 2.13.0), broom.mixed, cmprsk, covr,
datasets, effects, emmeans, fixest (>= 0.10.0), forcats, gam,
gee, geepack, ggplot2, ggeffects (>= 1.3.2), ggstats (>=
0.2.1), glmmTMB, glue, gt, gtsummary (>= 2.0.0), knitr, lavaan,
lfe, lme4 (>= 1.1.28), logitr (>= 0.8.0), marginaleffects (>=
0.18.0), margins, MASS, mgcv, mice, mmrm (>= 0.3.6), multgee,
nnet, ordinal, parameters, parsnip, patchwork, plm, pscl,
rmarkdown, rstanarm, scales, spelling, survey, survival,
testthat, tidycmprsk, VGAM",NA,"GPL (>= 3)",NA,NA,NA,NA,"no","4.4.1"
"bslib","bslib","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","0.8.0",NA,"R (>= 2.10)","base64enc, cachem, fastmap (>= 1.1.1), grDevices, htmltools
(>= 0.5.8), jquerylib (>= 0.1.3), jsonlite, lifecycle, memoise
(>= 2.0.1), mime, rlang, sass (>= 0.4.9)",NA,"bsicons, curl, fontawesome, future, ggplot2, knitr, magrittr,
rappdirs, rmarkdown (>= 2.7), shiny (> 1.8.1), testthat,
thematic, withr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.4.0"
"cachem","cachem","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","1.1.0",NA,NA,"rlang, fastmap (>= 1.2.0)",NA,"testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.4.0"
"callr","callr","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","3.7.6",NA,"R (>= 3.4)","processx (>= 3.6.1), R6, utils",NA,"asciicast (>= 2.3.1), cli (>= 1.1.0), mockery, ps, rprojroot,
spelling, testthat (>= 3.2.0), withr (>= 2.3.0)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.4.0"
"car","car","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","3.1-2",NA,"R (>= 3.5.0), carData (>= 3.0-0)","abind, MASS, mgcv, nnet, pbkrtest (>= 0.4-4), quantreg,
grDevices, utils, stats, graphics, lme4 (>= 1.1-27.1), nlme,
scales",NA,"alr4, boot, coxme, effects, knitr, leaps, lmtest, Matrix,
MatrixModels, mvtnorm, rgl (>= 0.111.3), rio, sandwich,
SparseM, survival, survey",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.4.0"
"carData","carData","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","3.0-5",NA,"R (>= 3.5.0)",NA,NA,"car (>= 3.0-0)",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.4.0"
"cards","cards","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","0.2.2",NA,"R (>= 4.1)","cli (>= 3.6.1), dplyr (>= 1.1.2), glue (>= 1.6.2), rlang (>=
1.1.1), tidyr (>= 1.3.0), tidyselect (>= 1.2.0)",NA,"spelling (>= 2.2.0), testthat (>= 3.2.0), withr (>= 3.0.0)",NA,"Apache License 2.0",NA,NA,NA,NA,"no","4.4.1"
"caret","caret","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","6.0-94",NA,"ggplot2, lattice (>= 0.20), R (>= 3.2.0)","e1071, foreach, grDevices, methods, ModelMetrics (>= 1.2.2.2),
nlme, plyr, pROC, recipes (>= 0.1.10), reshape2, stats, stats4,
utils, withr (>= 2.0.0)",NA,"BradleyTerry2, covr, Cubist, dplyr, earth (>= 2.2-3),
ellipse, fastICA, gam (>= 1.15), ipred, kernlab, klaR, knitr,
MASS, Matrix, mda, mgcv, mlbench, MLmetrics, nnet, pamr, party
(>= 0.9-99992), pls, proxy, randomForest, RANN, rmarkdown,
rpart, spls, subselect, superpc, testthat (>= 0.9.1), themis
(>= 0.1.3)",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.4.0"
"caTools","caTools","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","1.18.3",NA,"R (>= 3.6.0)","bitops",NA,"MASS, rpart",NA,"GPL-3",NA,NA,NA,NA,"yes","4.4.1"
"CBPS","CBPS","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","0.23",NA,"R (>= 3.4), MASS, MatchIt, nnet, numDeriv, glmnet","",NA,"testthat",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.4.0"
"cdlTools","cdlTools","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","1.13",NA,"R (>= 3.5.0)","raster, terra, stringr, rvest, utils, httr",NA,NA,NA,"Unlimited",NA,NA,NA,NA,"yes","4.4.0"
"cellranger","cellranger","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","1.1.0",NA,"R (>= 3.0.0)","rematch, tibble",NA,"covr, testthat (>= 1.0.0), knitr, rmarkdown",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.4.0"
"checkmate","checkmate","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","2.3.2",NA,"R (>= 3.0.0)","backports (>= 1.1.0), utils",NA,"R6, fastmatch, data.table (>= 1.9.8), devtools, ggplot2,
knitr, magrittr, microbenchmark, rmarkdown, testthat (>=
3.0.4), tinytest (>= 1.1.0), tibble",NA,"BSD_3_clause + file LICENSE",NA,NA,NA,NA,"yes","4.4.0"
"chk","chk","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","0.9.2",NA,"R (>= 3.6)","lifecycle, methods, rlang, tools",NA,"covr, knitr, rmarkdown, testthat (>= 3.0.0), withr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.4.0"
"choroplethr","choroplethr","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","3.7.3",NA,"R (>= 3.5.0), acs","Hmisc, stringr, ggplot2 (>= 2.0.0), dplyr, R6, WDI, ggmap,
RgoogleMaps, tigris (>= 1.0), gridExtra, xml2, rvest, tidyr,
tidycensus",NA,"testthat, choroplethrMaps, choroplethrAdmin1 (>= 1.1.0),",NA,"BSD_3_clause + file LICENSE",NA,NA,NA,NA,"no","4.4.0"
"chromote","chromote","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","0.3.1",NA,NA,"curl, fastmap, jsonlite, later (>= 1.1.0), magrittr, processx,
promises (>= 1.1.1), R6, rlang, utils, websocket (>= 1.2.0)",NA,"showimage, testthat (>= 3.0.0)",NA,"GPL-2",NA,NA,NA,NA,"no","4.4.1"
"class","class","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","7.3-22","recommended","R (>= 3.0.0), stats, utils","MASS",NA,NA,NA,"GPL-2 | GPL-3",NA,NA,NA,NA,"yes","4.4.1"
"classInt","classInt","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","0.4-10",NA,"R (>= 2.2)","grDevices, stats, graphics, e1071, class, KernSmooth",NA,"spData (>= 0.2.6.2), units, knitr, rmarkdown, tinytest",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.4.0"
"cli","cli","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","3.6.3",NA,"R (>= 3.4)","utils",NA,"callr, covr, crayon, digest, glue (>= 1.6.0), grDevices,
htmltools, htmlwidgets, knitr, methods, mockery, processx, ps
(>= 1.3.4.9000), rlang (>= 1.0.2.9003), rmarkdown, rprojroot,
rstudioapi, testthat, tibble, whoami, withr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.4.0"
"clipr","clipr","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","0.8.0",NA,NA,"utils",NA,"covr, knitr, rmarkdown, rstudioapi (>= 0.5), testthat (>=
2.0.0)",NA,"GPL-3",NA,NA,NA,NA,"no","4.4.0"
"clock","clock","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","0.7.1",NA,"R (>= 3.6.0)","cli (>= 3.6.1), lifecycle (>= 1.0.3), rlang (>= 1.1.0), tzdb
(>= 0.4.0), vctrs (>= 0.6.1)","cpp11 (>= 0.4.3), tzdb (>= 0.4.0)","covr, knitr, magrittr, pillar, rmarkdown, slider (>= 0.3.0),
testthat (>= 3.0.0), withr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.4.0"
"cluster","cluster","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","2.1.6","recommended","R (>= 3.5.0)","graphics, grDevices, stats, utils",NA,"MASS, Matrix","mvoutlier, fpc, ellipse, sfsmisc","GPL (>= 2)",NA,NA,NA,NA,"yes","4.4.1"
